Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,id
21,1982-07-25,187.0,Fontenay-sous-Bois,Paris,Flat,Bernard Hinault,FRA,74
P,1981-06-25,6.0,Nice,Nice,Time Trial,Bernard Hinault,FRA,74
1a,1981-06-26,97.0,Nice,Nice,Hilly,Freddy Maertens,BEL,243
1b,1981-06-26,40.0,Nice,Nice,Time Trial,TI–Raleigh–Creda,NA,798
2,1981-06-27,254.0,Nice,Martigues,Flat,Johan van der Velde,NED,412
3,1981-06-28,232.0,Martigues,Narbonne,Flat,Freddy Maertens,BEL,243
4,1981-06-29,77.0,Narbonne,Carcassonne,Time Trial,TI–Raleigh–Creda,NA,798
5,1981-06-30,117.0,Saint-Gaudens,Pla d'Adet,Mountain,Lucien Van Impe,BEL,511
6,1981-07-01,27.0,Nay,Pau,Time Trial,Bernard Hinault,FRA,74
7,1981-07-02,227.0,Pau,Bordeaux,Flat,Urs Freuler,SUI,821
8,1981-07-03,182.0,Rochefort,Nantes,Flat,Ad Wijnands,NED,2
9,1981-07-05,197.0,Nantes,Le Mans,Flat,René Martens,BEL,706
10,1981-07-06,264.0,Le Mans,Aulnay-sous-Bois,Flat,Ad Wijnands,NED,2
11,1981-07-07,246.0,Compiègne,Roubaix,Flat,Daniel Willems,BEL,130
12a,1981-07-08,107.0,Roubaix,Brussels,Flat,Freddy Maertens,BEL,243
12b,1981-07-08,138.0,Brussels,Circuit Zolder,Flat,Eddy Planckaert,BEL,156
13,1981-07-09,157.0,Beringen,Hasselt,Flat,Freddy Maertens,BEL,243
14,1981-07-10,38.0,Mulhouse,Mulhouse,Time Trial,Bernard Hinault,FRA,74
15,1981-07-11,231.0,Besançon,Thonon-les-Bains,Hilly,Sean Kelly,IRE,768
16,1981-07-12,200.0,Thonon-les-Bains,Morzine,Mountain,Robert Alban,FRA,722
17,1981-07-14,230.0,Morzine,Alpe d'Huez,Mountain,Peter Winnen,NED,655
