Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,id
2b,1963-06-24,22.0,Jambes,Jambes,Time Trial,Pelforth–Sauvage–Lejeune,NA,651
3,1963-06-25,223.0,Jambes,Roubaix,Flat,Seamus Elliott,IRL,767
4,1963-06-26,236.0,Roubaix,Rouen,Flat,Frans Melckenbeeck,BEL,237
5,1963-06-27,285.0,Rouen,Rennes,Flat,Antonio Bailetti,ITA,50
6a,1963-06-28,118.0,Rennes,Angers,Flat,Roger de Breuker,BEL,739
6b,1963-06-28,25.0,Angers,Angers,Time Trial,Jacques Anquetil,FRA,348
7,1963-06-29,236.0,Angers,Limoges,Flat,Jan Janssen,NED,355
8,1963-06-30,232.0,Limoges,Bordeaux,Flat,Rik Van Looy,BEL,715
9,1963-07-01,202.0,Bordeaux,Pau,Flat,Pino Cerami,BEL,677
10,1963-07-02,148.0,Pau,Bagnères-de-Bigorre,Mountain,Jacques Anquetil,FRA,348
11,1963-07-03,131.0,Bagnères-de-Bigorre,Luchon,Mountain,Guy Ignolin,FRA,313
12,1963-07-04,173.0,Luchon,Toulouse,Mountain,André Darrigade,FRA,38
13,1963-07-05,234.0,Toulouse,Aurillac,Flat,Rik Van Looy,BEL,715
14,1963-07-07,237.0,Aurillac,Saint-Étienne,Flat,Guy Ignolin,FRA,313
15,1963-07-08,174.0,Saint-Étienne,Grenoble,Mountain,Federico Bahamontes,ESP,203
16,1963-07-09,202.0,Grenoble,Val d'Isère,Mountain,Fernando Manzaneque,ESP,216
17,1963-07-10,228.0,Val d'Isère,Chamonix,Mountain,Jacques Anquetil,FRA,348
18,1963-07-11,225.0,Chamonix,Lons-le-Saunier,Mountain,Frans Brands,BEL,235
19,1963-07-12,54.0,Arbois,Besançon,Time Trial,Jacques Anquetil,FRA,348
20,1963-07-13,234.0,Besançon,Troyes,Flat,Roger de Breuker,BEL,739
21,1963-07-14,185.0,Troyes,Paris,Flat,Rik Van Looy,BEL,715
1,1962-06-24,253.0,Nancy,Spa,Flat,Rudi Altig,FRG,752
2a,1962-06-25,147.0,Spa,Herentals,Flat,André Darrigade,FRA,38
2b,1962-06-25,23.0,Herentals,Herentals,Time Trial,Faema–Flandria–Clement,NA,200
3,1962-06-26,210.0,Brussels,Amiens,Flat,Rudi Altig,FRG,752
4,1962-06-27,196.5,Amiens,Le Havre,Flat,Willy Vanden Berghen,BEL,849
5,1962-06-28,215.0,Pont l'Evêque,Saint-Malo,Flat,Emile Daems,BEL,168
6,1962-06-29,235.5,Dinard,Brest,Flat,Robert Cazala,FRA,723
7,1962-06-30,201.0,Quimper,Saint-Nazaire,Flat,Huub Zilverberg,NED,339
8a,1962-07-01,155.0,Saint-Nazaire,Luçon,Flat,Mario Minieri,ITA,556
8b,1962-07-01,43.0,Luçon,La Rochelle,Time Trial,Jacques Anquetil,FRA,348
9,1962-07-02,214.0,La Rochelle,Bordeaux,Flat,Antonio Bailetti,ITA,50
10,1962-07-03,184.5,Bordeaux,Bayonne,Flat,Willy Vannitsen,BEL,850
11,1962-07-04,155.5,Bayonne,Pau,Flat,Eddy Pauwels,BEL,155
12,1962-07-05,207.5,Pau,Saint-Gaudens,Mountain,Robert Cazala,FRA,723
13,1962-07-06,18.5,Luchon,Superbagnères,Time Trial,Federico Bahamontes,ESP,203
14,1962-07-07,215.0,Luchon,Carcassonne,Mountain,Jean Stablinski,FRA,381
15,1962-07-08,196.5,Carcassonne,Montpellier,Flat,Willy Vannitsen,BEL,850
16,1962-07-09,185.0,Montpellier,Aix-en-Provence,Flat,Emile Daems,BEL,168
17,1962-07-10,201.0,Aix-en-Provence,Antibes,Flat,Rudi Altig,FRG,752
18,1962-07-11,241.5,Antibes,Briançon,Mountain,Emile Daems,BEL,168
19,1962-07-12,204.5,Briançon,Aix-les-Bains,Mountain,Raymond Poulidor,FRA,697
20,1962-07-13,68.0,Bourgoin,Lyon,Time Trial,Jacques Anquetil,FRA,348
21,1962-07-14,232.0,Lyon,Nevers,Flat,Dino Bruni,ITA,144
22,1962-07-15,271.0,Nevers,Paris,Flat,Rino Benedetti,ITA,719
1a,1961-06-25,136.5,Rouen,Versailles,Flat,André Darrigade,FRA,38
1b,1961-06-25,28.5,Versailles,Versailles,Time Trial,Jacques Anquetil,FRA,348
2,1961-06-26,230.5,Pontoise,Roubaix,Flat,André Darrigade,FRA,38
3,1961-06-27,197.5,Roubaix,Charleroi,Flat,Emile Daems,BEL,168
4,1961-06-28,237.5,Charleroi,Metz,Flat,Anatole Novak,FRA,36
5,1961-06-29,221.0,Metz,Strasbourg,Mountain,Louis Bergaud,FRA,492
6,1961-06-30,180.5,Strasbourg,Belfort,Mountain,Jozef Planckaert,BEL,439
7,1961-07-01,214.5,Belfort,Chalon-sur-Saône,Flat,Jean Stablinski,FRA,381
8,1961-07-02,240.5,Chalon-sur-Saône,Saint-Étienne,Mountain,Jean Forestier,FRA,371
9,1961-07-03,230.0,Saint-Étienne,Grenoble,Mountain,Charly Gaul,LUX,105
10,1961-07-04,250.5,Grenoble,Turin,Mountain,Guy Ignolin,FRA,313
11,1961-07-05,225.0,Turin,Antibes,Mountain,Guido Carlesi,ITA,305
12,1961-07-06,199.0,Antibes,Aix-en-Provence,Mountain,Michel Van Aerde,BEL,592
13,1961-07-07,177.5,Aix-en-Provence,Montpellier,Flat,André Darrigade,FRA,38
14,1961-07-09,174.0,Montpellier,Perpignan,Flat,Eddy Pauwels,BEL,155
15,1961-07-10,206.0,Perpignan,Toulouse,Flat,Guido Carlesi,ITA,305
16,1961-07-11,208.0,Toulouse,Superbagnères,Mountain,Imerio Massignan,ITA,342
17,1961-07-12,197.0,Luchon,Pau,Mountain,Eddy Pauwels,BEL,155
18,1961-07-13,207.0,Pau,Bordeaux,Flat,Martin Van Geneugden,BEL,561
19,1961-07-14,74.5,Bergerac,Périgueux,Time Trial,Jacques Anquetil,FRA,348
20,1961-07-15,309.5,Périgueux,Tours,Flat,André Darrigade,FRA,38
21,1961-07-16,252.5,Tours,Paris,Flat,Robert Cazala,FRA,723
1a,1960-06-26,108.0,Lille,Brussels,Flat,Julien Schepens,BEL,454
1b,1960-06-26,27.8,Brussels,Brussels,Time Trial,Roger Rivière,FRA,738
2,1960-06-27,206.0,Brussels,Dunkirk,Flat,René Privat,FRA,709
3,1960-06-28,209.0,Dunkirk,Dieppe,Flat,Nino Defilippis,ITA,614
4,1960-06-29,211.0,Dieppe,Caen,Flat,Jean Graczyk,FRA,376
5,1960-06-30,189.0,Caen,Saint-Malo,Flat,André Darrigade,FRA,38
6,1960-07-01,191.0,Saint-Malo,Lorient,Flat,Roger Rivière,FRA,738
7,1960-07-02,244.0,Lorient,Angers,Flat,Graziano Battistini,ITA,301
8,1960-07-03,240.0,Angers,Limoges,Flat,Nino Defilippis,ITA,614
9,1960-07-04,225.0,Limoges,Bordeaux,Flat,Martin van Geneugden,BEL,562
10,1960-07-05,228.0,Mont-de-Marsan,Pau,Mountain,Roger Rivière,FRA,738
11,1960-07-06,161.0,Pau,Luchon,Mountain,Kurt Gimmi,SUI,470
12,1960-07-07,176.0,Luchon,Toulouse,Mountain,Jean Graczyk,FRA,376
13,1960-07-08,224.0,Toulouse,Millau,Flat,Louis Proost,FRA,498
14,1960-07-10,217.0,Millau,Avignon,Mountain,Martin van Geneugden,BEL,562
15,1960-07-11,187.0,Avignon,Gap,Mountain,Michel Van Aerde,BEL,592
16,1960-07-12,172.0,Gap,Briançon,Mountain,Graziano Battistini,ITA,301
17,1960-07-13,229.0,Briançon,Aix-les-Bains,Mountain,Jean Graczyk,FRA,376
18,1960-07-14,215.0,Aix-les-Bains,Thonon-les-Bains,Mountain,Fernando Manzaneque,ESP,216
19,1960-07-15,83.0,Pontarlier,Besançon,Time Trial,Rolf Graf,SUI,741
20,1960-07-16,229.0,Besançon,Troyes,Flat,Pierre Beuffeuil,FRA,662
21,1960-07-17,200.0,Troyes,Paris,Flat,Jean Graczyk,FRA,376
1,1959-06-25,238.0,Mulhouse,Metz,Flat,André Darrigade,FRA,38
2,1959-06-26,234.0,Metz,Namur,Flat,Vito Favero,ITA,833
3,1959-06-27,217.0,Namur,Roubaix,Flat,Robert Cazala,FRA,723
4,1959-06-28,230.0,Roubaix,Rouen,Flat,Dino Bruni,ITA,144
5,1959-06-29,286.0,Rouen,Rennes,Flat,Jean Graczyk,FRA,376
6,1959-06-30,45.0,Blain,Nantes,Time Trial,Roger Rivière,FRA,738
7,1959-07-01,190.0,Nantes,La Rochelle,Flat,Roger Hassenforder,FRA,733
8,1959-07-02,201.0,La Rochelle,Bordeaux,Flat,Michel Dejouhannet,FRA,589
9,1959-07-03,207.0,Bordeaux,Bayonne,Flat,Marcel Queheille,FRA,543
10,1959-07-05,235.0,Bayonne,Bagnères-de-Bigorre,Mountain,Marcel Janssens,BEL,539
11,1959-07-06,119.0,Bagnères-de-Bigorre,Saint-Gaudens,Mountain,André Darrigade,FRA,38
12,1959-07-07,184.0,Saint-Gaudens,Albi,Flat,Rolf Graf,SUI,741
13,1959-07-08,219.0,Albi,Aurillac,Mountain,Henry Anglade,FRA,331
14,1959-07-09,231.0,Aurillac,Clermont-Ferrand,Mountain,André Le Dissez,FRA,42
15,1959-07-10,12.0,Puy de Dôme,Puy de Dôme,Time Trial,Federico Bahamontes,ESP,203
16,1959-07-11,210.0,Clermont-Ferrand,Saint-Étienne,Flat,Dino Bruni,ITA,144
17,1959-07-13,197.0,Saint-Étienne,Grenoble,Mountain,Charly Gaul,LUX,105
18,1959-07-14,243.0,Grenoble,Saint-Vincent,Mountain,Ercole Baldini,ITA,174
19,1959-07-15,251.0,Saint-Vincent,Annecy,Mountain,Rolf Graf,SUI,741
20,1959-07-16,202.0,Annecy,Chalon-sur-Saône,Flat,Brian Robinson,GBR,90
21,1959-07-17,69.0,Seurre,Dijon,Time Trial,Roger Rivière,FRA,738
22,1959-07-18,331.0,Dijon,Paris,Flat,Joseph Groussard,FRA,422
1,1958-06-26,184.0,Brussels,Ghent,Flat,André Darrigade,FRA,38
2,1958-06-27,198.0,Ghent,Dunkirk,Flat,Gerrit Voorting,NED,275
3,1958-06-28,177.0,Dunkirk,Mers-les-Bains,Flat,Gilbert Bauvin,FRA,283
4,1958-06-29,205.0,Le Tréport,Versailles,Flat,Jean Gainche,FRA,373
5,1958-06-30,232.0,Versailles,Caen,Flat,Tino Sabbadini,FRA,810
6,1958-07-01,223.0,Caen,Saint-Brieuc,Flat,Martin van Geneugden,BEL,562
7,1958-07-02,170.0,Saint-Brieuc,Brest,Flat,Brian Robinson,GBR,90
8,1958-07-03,46.0,Châteaulin,Châteaulin,Time Trial,Charly Gaul,LUX,105
9,1958-07-04,206.0,Quimper,Saint-Nazaire,Flat,André Darrigade,FRA,38
10,1958-07-05,255.0,Saint-Nazaire,Royan,Flat,Pierino Baffi,ITA,661
11,1958-07-06,137.0,Royan,Bordeaux,Flat,Arrigo Padovan,ITA,57
12,1958-07-07,161.0,Bordeaux,Dax,Flat,Martin van Geneugden,BEL,562
13,1958-07-08,230.0,Dax,Pau,Mountain,Louis Bergaud,FRA,492
14,1958-07-09,129.0,Pau,Luchon,Mountain,Federico Bahamontes,ESP,203
15,1958-07-10,176.0,Luchon,Toulouse,Mountain,André Darrigade,FRA,38
16,1958-07-11,187.0,Toulouse,Béziers,Flat,Pierino Baffi,ITA,661
17,1958-07-12,189.0,Béziers,Nîmes,Flat,André Darrigade,FRA,38
18,1958-07-13,21.0,Bédoin,Mont-Ventoux,Time Trial,Charly Gaul,LUX,105
19,1958-07-14,178.0,Carpentras,Gap,Mountain,Gastone Nencini,ITA,256
20,1958-07-15,165.0,Gap,Briançon,Mountain,Federico Bahamontes,ESP,203
21,1958-07-16,219.0,Briançon,Aix-les-Bains,Mountain,Charly Gaul,LUX,105
22,1958-07-17,237.0,Aix-les-Bains,Besançon,Mountain,André Darrigade,FRA,38
23,1958-07-18,74.0,Besançon,Dijon,Time Trial,Charly Gaul,LUX,105
24,1958-07-19,320.0,Dijon,Paris,Flat,Pierino Baffi,ITA,661
1,1957-06-27,204.0,Nantes,Granville,Flat,André Darrigade,FRA,38
2,1957-06-28,226.0,Granville,Caen,Flat,René Privat,FRA,709
3a,1957-06-29,15.0,"Circuit de la Prairie, Caen","Circuit de la Prairie, Caen",Time Trial,France,NA,223
3b,1957-06-29,134.0,Caen,Rouen,Flat,Jacques Anquetil,FRA,348
4,1957-06-30,232.0,Rouen,Roubaix,Flat,Marcel Janssens,BEL,539
5,1957-07-01,170.0,Roubaix,Charleroi,Flat,Gilbert Bauvin,FRA,283
6,1957-07-02,248.0,Charleroi,Metz,Flat,André Trochut,FRA,45
7,1957-07-03,223.0,Metz,Colmar,Mountain,Roger Hassenforder,FRA,733
8,1957-07-04,192.0,Colmar,Besançon,Flat,Pierino Baffi,ITA,661
9,1957-07-05,188.0,Besançon,Thonon-les-Bains,Flat,Jacques Anquetil,FRA,348
10,1957-07-07,247.0,Thonon-les-Bains,Briançon,Mountain,Gastone Nencini,ITA,256
11,1957-07-08,286.0,Briançon,Cannes,Mountain,René Privat,FRA,709
12,1957-07-09,239.0,Cannes,Marseille,Mountain,Jean Stablinski,FRA,381
13,1957-07-10,160.0,Marseille,Alès,Flat,Nino Defilippis,ITA,614
14,1957-07-11,246.0,Alès,Perpignan,Flat,Roger Hassenforder,FRA,733
15a,1957-07-12,197.0,Perpignan,Barcelona,Flat,René Privat,FRA,709
15b,1957-07-12,9.8,Montjuïc circuit,Montjuïc circuit,Time Trial,Jacques Anquetil,FRA,348
16,1957-07-14,220.0,Barcelona ,Ax-les-Thermes,Mountain,Jean Bourlès,FRA,366
17,1957-07-15,236.0,Ax-les-Thermes,Saint-Gaudens,Mountain,Nino Defilippis,ITA,614
18,1957-07-16,207.0,Saint-Gaudens,Pau,Mountain,Gastone Nencini,ITA,256
19,1957-07-17,194.0,Pau,Bordeaux,Flat,Pierino Baffi,ITA,661
20,1957-07-18,66.0,Bordeaux,Libourne,Time Trial,Jacques Anquetil,FRA,348
21,1957-07-19,317.0,Libourne,Tours,Flat,André Darrigade,FRA,38
22,1957-07-20,227.0,Tours,Paris,Flat,André Darrigade,FRA,38
1,1956-07-05,223.0,Reims,Liège,Flat,André Darrigade,FRA,38
2,1956-07-06,217.0,Liège,Lille,Flat,Fred De Bruyne,BEL,242
3,1956-07-07,225.0,Lille,Rouen,Flat,Arigo Padovan,ITA,53
4a,1956-07-08,15.1,Circuit de Rouen-Les-Essarts,Circuit de Rouen-Les-Essarts,Time Trial,Charly Gaul,LUX,105
4b,1956-07-08,125.0,Rouen,Caen,Flat,Roger Hassenforder,FRA,733
5,1956-07-09,189.0,Caen,Saint-Malo,Flat,Joseph Morvan,FRA,424
6,1956-07-10,192.0,Saint-Malo,Lorient,Flat,Fred De Bruyne,BEL,242
7,1956-07-11,244.0,Lorient,Angers,Flat,Alessandro Fantini,ITA,23
8,1956-07-12,180.0,Angers,La Rochelle,Flat,Miguel Poblet,ESP,599
9,1956-07-13,219.0,La Rochelle,Bordeaux,Flat,Roger Hassenforder,FRA,733
10,1956-07-15,201.0,Bordeaux,Bayonne,Flat,Fred De Bruyne,BEL,242
11,1956-07-16,255.0,Bayonne,Pau,Mountain,Nino Defilippis,ITA,614
12,1956-07-17,130.0,Pau,Luchon,Mountain,Jean-Pierre Schmitz,LUX,392
13,1956-07-18,176.0,Luchon,Toulouse,Mountain,Nino Defilippis,ITA,614
14,1956-07-19,231.0,Toulouse,Montpellier,Flat,Roger Hassenforder,FRA,733
15,1956-07-20,204.0,Montpellier,Aix-en-Provence,Flat,Joseph Thomin,FRA,426
16,1956-07-22,203.0,Aix-en-Provence,Gap,Mountain,Jean Forestier,FRA,371
17,1956-07-23,234.0,Gap,Turin,Mountain,Nino Defilippis,ITA,614
18,1956-07-24,250.0,Turin,Grenoble,Mountain,Charly Gaul,LUX,105
19,1956-07-25,173.0,Grenoble,Saint-Étienne,Mountain,Stan Ockers,BEL,781
20,1956-07-26,73.0,Saint-Étienne,Lyon,Time Trial,Miguel Bover,ESP,595
21,1956-07-27,237.0,Lyon,Montluçon,Mountain,Roger Hassenforder,FRA,733
22,1956-07-28,331.0,Montluçon,Paris,Flat,Gastone Nencini,ITA,256
1a,1955-07-07,102.0,Le Havre,Dieppe,Flat,Miguel Poblet,ESP,599
1b,1955-07-07,12.5,Dieppe,Dieppe,Time Trial,Netherlands,NA,608
2,1955-07-08,204.0,Dieppe,Roubaix,Flat,Antonin Rolland,FRA,49
3,1955-07-09,210.0,Roubaix,Namur,Flat,Louison Bobet,FRA,500
4,1955-07-10,225.0,Namur,Metz,Flat,Willy Kemp,LUX,845
5,1955-07-11,229.0,Metz,Colmar,Flat,Roger Hassenforder,FRA,733
6,1955-07-12,195.0,Colmar,Zürich,Flat,André Darrigade,FRA,38
7,1955-07-13,267.0,Zürich,Thonon-les-Bains,Flat,Jos Hinsen,NED,416
8,1955-07-14,253.0,Thonon-les-Bains,Briançon,Mountain,Charly Gaul,LUX,105
9,1955-07-15,275.0,Briançon,Monaco,Mountain,Raphaël Géminiani,FRA,689
10,1955-07-16,240.0,Monaco,Marseille,Flat,Lucien Lazaridès,FRA,506
11,1955-07-18,198.0,Marseille,Avignon,Mountain,Louison Bobet,FRA,500
12,1955-07-19,240.0,Avignon,Millau,Mountain,Alessandro Fantini,ITA,23
13,1955-07-20,205.0,Millau,Albi,Flat,Daan de Groot,NED,127
14,1955-07-21,156.0,Albi,Narbonne,Mountain,Louis Caput,FRA,493
15,1955-07-22,151.0,Narbonne,Ax-les-Thermes,Flat,Luciano Pezzi,ITA,503
16,1955-07-24,123.0,Ax-les-Thermes,Toulouse,Flat,Rik Van Steenbergen,BEL,716
17,1955-07-25,250.0,Toulouse,Saint-Gaudens,Mountain,Charly Gaul,LUX,105
18,1955-07-26,205.0,Saint-Gaudens,Pau,Mountain,Jean Brankart,BEL,367
19,1955-07-27,195.0,Pau,Bordeaux,Flat,Wout Wagtmans,NED,853
20,1955-07-28,243.0,Bordeaux,Poitiers,Flat,Jean Forestier,FRA,371
21,1955-07-29,68.6,Châtellerault,Tours,Time Trial,Jean Brankart,BEL,367
22,1955-07-30,229.0,Tours,Paris,Flat,Miguel Poblet,ESP,599
1,1954-07-08,216.0,Amsterdam,Brasschaat,Flat,Wout Wagtmans,NED,853
2,1954-07-09,255.0,Beveren,Lille,Flat,Louison Bobet,FRA,500
3,1954-07-10,219.0,Lille,Rouen,Flat,Marcel Dussault,FRA,536
4a,1954-07-11,10.4,Rouen,Circuit des Essarts,Time Trial,Switzerland,NA,791
4b,1954-07-11,131.0,Rouen,Caen,Flat,Wim van Est,NED,851
5,1954-07-12,224.0,Caen,Saint-Brieuc,Flat,Ferdinand Kübler,SUI,211
6,1954-07-13,179.0,Saint-Brieuc,Brest,Flat,Dominique Forlini,FRA,150
7,1954-07-14,211.0,Brest,Vannes,Flat,Jacques Vivier,FRA,352
8,1954-07-15,190.0,Vannes,Angers,Flat,Fred De Bruyne,BEL,242
9,1954-07-16,343.0,Angers,Bordeaux,Flat,Henk Faanhof,NED,320
10,1954-07-18,202.0,Bordeaux,Bayonne,Flat,Gilbert Bauvin,FRA,283
11,1954-07-19,241.0,Bayonne,Pau,Mountain,Stan Ockers,BEL,781
12,1954-07-20,161.0,Pau,Luchon,Mountain,Gilbert Bauvin,FRA,283
13,1954-07-21,203.0,Luchon,Toulouse,Flat,Fred De Bruyne,BEL,242
14,1954-07-22,225.0,Toulouse,Millau,Mountain,Ferdinand Kübler,SUI,211
15,1954-07-23,197.0,Millau,Le Puy,Mountain,Dominique Forlini,FRA,150
16,1954-07-24,194.0,Le Puy,Lyon,Mountain,Jean Forestier,FRA,371
17,1954-07-26,182.0,Lyon,Grenoble,Mountain,Lucien Lazaridès,FRA,506
18,1954-07-27,216.0,Grenoble,Briançon,Mountain,Louison Bobet,FRA,500
19,1954-07-28,221.0,Briançon,Aix-les-Bains,Mountain,Jean Dotto,FRA,369
20,1954-07-29,243.0,Aix les Bains,Besançon,Mountain,Lucien Teisseire,FRA,510
21a,1954-07-30,134.0,Besançon,Épinal,Flat,François Mahé,FRA,239
21b,1954-07-30,72.0,Epinal,Nancy,Time Trial,Louison Bobet,FRA,500
22,1954-07-31,216.0,Nancy,Troyes,Flat,Fred De Bruyne,BEL,242
23,1954-08-01,180.0,Troyes,Paris,Flat,Robert Varnajo,FRA,727
1,1953-07-03,195.0,Strasbourg,Metz,Flat,Fritz Schär,SUI,245
2,1953-07-04,227.0,Metz,Liège,Flat,Fritz Schär,SUI,245
3,1953-07-05,221.0,Liège,Lille,Flat,Stanislas Bober,FRA,782
4,1953-07-06,188.0,Lille,Dieppe,Flat,Gerrit Voorting,NED,275
5,1953-07-07,200.0,Dieppe,Caen,Flat,Jean Malléjac,FRA,378
6,1953-07-08,206.0,Caen,Le Mans,Flat,Martin Van Geneugden,BEL,561
7,1953-07-09,181.0,Le Mans,Nantes,Flat,Livio Isotti,ITA,490
8,1953-07-10,345.0,Nantes,Bordeaux,Flat,Jan Nolten,NED,358
9,1953-07-12,197.0,Bordeaux,Pau,Flat,Fiorenzo Magni,ITA,219
10,1953-07-13,103.0,Pau,Cauterets,Mountain,Jesús Loroño,ESP,401
11,1953-07-14,115.0,Cauterets,Luchon,Mountain,Jean Robic,FRA,379
12,1953-07-15,228.0,Luchon,Albi,Flat,André Darrigade,FRA,38
13,1953-07-16,189.0,Albi,Béziers,Mountain,Nello Lauredi,FRA,606
14,1953-07-17,214.0,Béziers,Nîmes,Mountain,Bernard Quennehen,FRA,76
15,1953-07-18,173.0,Nîmes,Marseille,Flat,Maurice Quentin,FRA,578
16,1953-07-19,236.0,Marseille,Monaco,Mountain,Wim van Est,NED,851
17,1953-07-21,261.0,Monaco,Gap,Mountain,Wout Wagtmans,NED,853
18,1953-07-22,165.0,Gap,Briançon,Mountain,Louison Bobet,FRA,500
19,1953-07-23,227.0,Briançon,Lyon,Mountain,Georges Meunier,FRA,261
20,1953-07-24,70.0,Lyon,St. Etienne,Time Trial,Louison Bobet,FRA,500
21,1953-07-25,210.0,St. Etienne,Montluçon,Flat,Wout Wagtmans,NED,853
22,1953-07-26,328.0,Montluçon,Paris,Flat,Fiorenzo Magni,ITA,219
1,1952-06-25,246.0,Brest,Rennes,Flat,Rik Van Steenbergen,BEL,716
2,1952-06-26,181.0,Rennes,Le Mans,Flat,André Rosseel,BEL,44
3,1952-06-27,189.0,Le Mans,Rouen,Flat,Nello Lauredi,FRA,606
4,1952-06-28,232.0,Rouen,Roubaix,Flat,Pierre Molinéris,FRA,669
5,1952-06-29,197.0,Roubaix,Namur,Flat,Jean Diederich,LUX,368
6,1952-06-30,228.0,Namur,Metz,Flat,Fiorenzo Magni,ITA,219
7,1952-07-01,60.0,Metz,Nancy,Time Trial,Fausto Coppi,ITA,202
8,1952-07-02,252.0,Nancy,Mulhouse,Mountain,Raphaël Géminiani,FRA,689
9,1952-07-03,238.0,Mulhouse,Lausanne,Mountain,Walter Diggelmann,SUI,835
10,1952-07-04,266.0,Lausanne,Alpe d'Huez,Mountain,Fausto Coppi,ITA,202
11,1952-07-06,182.0,Le Bourg-d'Oisans,Sestriere,Mountain,Fausto Coppi,ITA,202
12,1952-07-07,251.0,Sestriere,Monaco,Mountain,Jan Nolten,NED,358
13,1952-07-08,214.0,Monaco,Aix-en-Provence,Flat,Raoul Rémy,FRA,688
14,1952-07-09,178.0,Aix-en-Provence,Avignon,Mountain,Jean Robic,FRA,379
15,1952-07-10,275.0,Avignon,Perpignan,Flat,Georges Decaux,FRA,260
16,1952-07-11,200.0,Perpignan,Toulouse,Flat,André Rosseel,BEL,44
17,1952-07-13,204.0,Toulouse,Bagnères-de-Bigorre,Mountain,Raphaël Géminiani,FRA,689
18,1952-07-14,149.0,Bagnères-de-Bigorre,Pau,Mountain,Fausto Coppi,ITA,202
19,1952-07-15,195.0,Pau,Bordeaux,Flat,Hans Dekkers,NED,316
20,1952-07-16,228.0,Bordeaux,Limoges,Flat,Jacques Vivier,FRA,352
21,1952-07-17,245.0,Limoges,Puy de Dôme,Mountain,Fausto Coppi,ITA,202
22,1952-07-18,63.0,Clermont-Ferrand,Vichy,Time Trial,Fiorenzo Magni,ITA,219
23,1952-07-19,354.0,Vichy,Paris,Flat,Antonin Rolland,FRA,49
1,1951-07-04,185.0,Metz,Reims,Flat,Giovanni Rossi,SUI,295
2,1951-07-05,228.0,Reims,Ghent,Flat,Jean Diederich,LUX,368
3,1951-07-06,219.0,Ghent,Le Tréport,Flat,Georges Meunier,FRA,261
4,1951-07-07,188.0,Le Tréport,Paris,Flat,Roger Lévêque,FRA,736
5,1951-07-08,215.0,Paris,Caen,Flat,Serafino Biagioni,ITA,770
6,1951-07-09,182.0,Caen,Rennes,Flat,Édouard Muller,FRA,861
7,1951-07-10,85.0,La Guerche-de-Bretagne,Angers,Time Trial,Hugo Koblet,SUI,338
8,1951-07-11,241.0,Angers,Limoges,Flat,André Rosseel,BEL,44
9,1951-07-13,236.0,Limoges,Clermont-Ferrand,Mountain,Raphaël Géminiani,FRA,689
10,1951-07-14,216.0,Clermont-Ferrand,Brive,Mountain,Bernardo Ruiz,ESP,83
11,1951-07-15,177.0,Brive,Agen,Flat,Hugo Koblet,SUI,338
12,1951-07-16,185.0,Agen,Dax,Flat,Wim van Est,NED,851
13,1951-07-17,201.0,Dax,Tarbes,Mountain,Serafino Biagioni,ITA,770
14,1951-07-18,142.0,Tarbes,Luchon,Mountain,Hugo Koblet,SUI,338
15,1951-07-19,213.0,Luchon,Carcassonne,Mountain,André Rosseel,BEL,44
16,1951-07-20,192.0,Carcassonne,Montpellier,Flat,Hugo Koblet,SUI,338
17,1951-07-22,224.0,Montpellier,Avignon,Mountain,Louison Bobet,FRA,500
18,1951-07-23,173.0,Avignon,Marseille,Flat,Fiorenzo Magni,ITA,219
19,1951-07-24,208.0,Marseille,Gap,Mountain,Armand Baeyens,BEL,55
20,1951-07-25,165.0,Gap,Briançon,Mountain,Fausto Coppi,ITA,202
21,1951-07-26,201.0,Briançon,Aix-les-Bains,Mountain,Bernardo Ruiz,ESP,83
22,1951-07-27,97.0,Aix-les-Bains,Geneva,Time Trial,Hugo Koblet,SUI,338
23,1951-07-28,197.0,Geneva,Dijon,Mountain,Germain Derijcke,BEL,271
24,1951-07-29,322.0,Dijon,Paris,Flat,Adolphe Deledda,FRA,7
1,1950-07-13,307.0,Paris,Metz,Flat,Jean Goldschmit,LUX,375
2,1950-07-14,241.0,Metz,Liège,Flat,Adolfo Leoni,ITA,5
3,1950-07-15,232.5,Liège,Lille,Flat,Alfredo Pasotti,ITA,32
4,1950-07-16,231.0,Lille,Rouen,Flat,Stan Ockers,BEL,781
5,1950-07-17,316.0,Rouen,Dinard,Flat,Giovanni Corrieri,ITA,292
6,1950-07-19,78.0,Dinard,St. Brieuc,Time Trial,Ferdinand Kübler,SUI,211
7,1950-07-20,248.0,St. Brieuc,Angers,Flat,Nello Lauredi,FRA,606
8,1950-07-21,181.0,Angers,Niort,Flat,Fiorenzo Magni,ITA,219
9,1950-07-22,206.0,Niort,Bordeaux,Flat,Alfredo Pasotti,ITA,32
10,1950-07-23,202.0,Bordeaux,Pau,Flat,Marcel Dussault,FRA,536
11,1950-07-25,230.0,Pau,St. Gaudens,Mountain,Gino Bartali,ITA,288
12,1950-07-26,233.0,Saint-Gaudens,Perpignan,Flat,Maurice Blomme,BEL,571
13,1950-07-27,215.0,Perpignan,Nîmes,Flat,Marcel Molinès,FRA,542
14,1950-07-28,222.0,Nîmes,Toulon,Flat,Custodio Dos Reis,FRA,121
15,1950-07-29,205.5,Toulon,Menton,Mountain,Jean Diederich,LUX,368
16,1950-07-30,96.0,Menton,Nice,Mountain,Ferdinand Kübler,SUI,211
